Extension	File type description
rgb	SGI RGB bitmap file
rgb	Japanese Q0 bitmap image
rgba	Silicon Graphics Image File Format
ria	Alpharel Group IV bitmap file
ric	Lego NXT image file
rid	GerbMagic raster image file
rif	Resource Interchange File Format
rif	Corel Painter raster image file
riff	Resource Interchange File Format bitmap image
riff	Corel Painter raster image file
rix	ColoRIX bitmap image
rl2	Nokia ST (Star Torrent) mobile phones series picture image
rl4	Microsoft Windows bitmap image
rl8	Microsoft Windows bitmap image
rla	Alias/Wavefront bitmap image
rlb	Alias/Wavefront bitmap image
rle	Bitmap graphics - 4bit or 8bit ADEX file
rle	Run Length Encoded bitmap image file
rle	Raster bitmap image
rnl	GTX runlength encoded bitmap graphics
rpbm	Portable Bitmap image format
rpgm	Portable greyscale image
rpnm	Portable Image image format
rppm	Portable Image image format
rs	Sun Raster bitmap image format
rsb	Red Storm bitmap file
rsr	Poser model preview file
rtl	HP Raster Transfer Language bitmap image file
rw2	Panasonic Lumix RAW image file
rwl	D-Lux 4 RAW image file
rwz	Rawzor compressed RAW image file
sbig	Santa Barbara Instruments astronomical image file
sc2	Msx 2 screen image format
sc?	ColoRix bitmap image
scd	Matrix/Imapro/Agfa SCODL film recorder bitmap image
scg	ColoRIX Bitmap image
sci	ColoRIX bitmap image
scp	ColoRIX bitmap image
scr	Sun Raster bitmap image file
scr	Microsoft Word for DOS bitmap file
scrn	Startup Screen file
sct	Scitex CT bitmap image file
scu	ColoRIX bitmap image
scx	ColoRIX bitmap image
sd2	Dali Raw image
sdpx	Kodak Cineon image format
sdw	MrSID header file (ESRI picture file)
sep	Tagged Image File Format (TIFF) bitmap image
seq	ATARI STAD image format
sev	SevenUp picture file
sfc	Motic Images Plus image file
sfp	Ventura Publisher Pcl 4 bitmap font (portrait)
sfw	Seattle Film Works graphics file
sgx	SymbOS SGX bitmap file
sh3	Harvard Graphics 3.0 presentation file
shrp	Apple IIG image file
sid	LizardTech MrSID image file format
sim	Aurora image format
sir	Bitmap image (Solitaire file)
six	DEC LN03+ Sixel bitmap image file
sixel	DEC LN03+ Sixel bitmap image file
skv	XLANG schedule drawing file
snag	SnagIt capture
snap	LittleSnaper snap file
snx	Second Nature screensaver image file
spc	Atari compressed Spectrum bitmap file
spe	Princeton Instruments CCD camera bitmap image
spf	Still Picture Interchange File Format
spi	Scanned Graphics file format
spiff	SPIFF Still Picture Interchange File Format
spot	SPOT satellite image file
spr	Acorn RISC OS bitmap image sprite file
sprite	Acorn RISC OS sprite file
sps	Atari Spectrum 512 smooshed bitmap image
spu	Atari Spectrum bitmap image file
sr	Sun raster bitmap graphics file
sr2	Sony Digital Camera Raw Image File
srf	Sun raster file
srf	Sony digital camera RAW image file
srs	Sun raster file
srw	Samsung Raw picture image file
st9	SBIG astronomical image
ste	Samsung IPOLIS picture file
stn=	Genuine Fractals STING file format
sumo	Sumo Paint image file
sun	Sun raster bitmap image
suniff	Bitmap image (Sun TAAC Image File Format)
sup	Subtitle bitmap file
sva	Sharp Manga Browser comic file
svh	Black Diamond Consulting Surround Video animated internet picture file
swgr	ClarisWorks version 3/4 Drawing file
syn	Bitmap image (Synthetic Universe image file)
synu	Bitmap image (SDSC Synu image file)
synu	Synthetic Universe image format
t2b	CyBook thumbnail image file
